Rank,Song,Artist,Trend,Last Week,Peak,Weeks,Link
132,Evolve,Imagine Dragons,Failing,124,2,146,https://www.billboard.com/charts/billboard-200?rank=132
133,We Love You Tecca,Lil Tecca,Failing,121,4,32,https://www.billboard.com/charts/billboard-200?rank=133
134,Die A Legend,Polo G,Failing,126,6,44,https://www.billboard.com/charts/billboard-200?rank=134
135,Ticket To L.A.,Brett Young,Rising,153,15,17,https://www.billboard.com/charts/billboard-200?rank=135
136,Greatest Hits,The Notorious B.I.G.,Failing,127,1,217,https://www.billboard.com/charts/billboard-200?rank=136
137,Birds Of Prey: The Album,Soundtrack,Failing,130,23,9,https://www.billboard.com/charts/billboard-200?rank=137
138,The Essential Michael Jackson,Michael Jackson,Failing,137,31,319,https://www.billboard.com/charts/billboard-200?rank=138
139,1989,Taylor Swift,Failing,131,1,278,https://www.billboard.com/charts/billboard-200?rank=139
140,Kid Krow,Conan Gray,Failing,83,5,3,https://www.billboard.com/charts/billboard-200?rank=140
141,Lady Like,Ingrid Andress,Failing,90,90,2,https://www.billboard.com/charts/billboard-200?rank=141
142,2014 Forest Hills Drive,J. Cole,Failing,135,1,279,https://www.billboard.com/charts/billboard-200?rank=142
143,Happiness Begins,Jonas Brothers,Failing,132,1,44,https://www.billboard.com/charts/billboard-200?rank=143
144,Greatest Hits So Far...,Zac Brown Band,Rising,149,20,252,https://www.billboard.com/charts/billboard-200?rank=144
145,Ordinary Man,Ozzy Osbourne,Failing,118,3,7,https://www.billboard.com/charts/billboard-200?rank=145
146,Their Greatest Hits 1971-1975,Eagles,Failing,136,1,321,https://www.billboard.com/charts/billboard-200?rank=146
147,I'm Him,Kevin Gates,Failing,128,4,28,https://www.billboard.com/charts/billboard-200?rank=147
148,The Eminem Show,Eminem,Failing,138,1,372,https://www.billboard.com/charts/billboard-200?rank=148
149,A Star Is Born (Soundtrack),Lady Gaga & Bradley Cooper,Failing,141,1,79,https://www.billboard.com/charts/billboard-200?rank=149
150,Championships,Meek Mill,Failing,143,1,71,https://www.billboard.com/charts/billboard-200?rank=150
151,X 100PRE,Bad Bunny,Failing,139,11,68,https://www.billboard.com/charts/billboard-200?rank=151
152,Hot Rocks 1964-1971,The Rolling Stones,Rising,154,4,327,https://www.billboard.com/charts/billboard-200?rank=152
153,Doo-Wops & Hooligans,Bruno Mars,Failing,146,3,465,https://www.billboard.com/charts/billboard-200?rank=153
154,"Quality Control: Control The Streets, Volume 2",Various Artists,Failing,147,3,34,https://www.billboard.com/charts/billboard-200?rank=154
